attribute_0,symboling,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,compression-ratio,city-mpg,highway-mpg,make_alfa-romero,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_isuzu,make_jaguar,make_mazda,make_mercedes-benz,make_mercury,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_renault,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo,fuel-type_diesel,fuel-type_gas,aspiration_std,aspiration_turbo,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_fwd,drive-wheels_rwd,engine-location_front,engine-location_rear,engine-type_dohc,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,engine-type_rotor,fuel-system_1bbl,fuel-system_2bbl,fuel-system_4bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi,normalized-losses,num-of-doors,bore,stroke,peak-rpm,class,price
32,1.0,93.7,150.0,64.0,52.6,1940.0,4,92.0,9.2,30,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,101.0,2.0,2.91,3.41,6000.0,76.0,6529
33,1.0,93.7,150.0,64.0,52.6,1956.0,4,92.0,9.2,30,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,101.0,2.0,2.91,3.41,6000.0,76.0,7129
34,0.0,96.5,163.4,64.0,54.5,2010.0,4,92.0,9.2,30,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,110.0,4.0,2.91,3.41,6000.0,76.0,7295
35,0.0,96.5,157.1,63.9,58.3,2024.0,4,92.0,9.2,30,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,78.0,4.0,2.92,3.41,6000.0,76.0,7295
36,0.0,96.5,167.5,65.2,53.3,2236.0,4,110.0,9.0,27,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,106.0,2.0,3.15,3.58,5800.0,86.0,7895
37,0.0,96.5,167.5,65.2,53.3,2289.0,4,110.0,9.0,27,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,106.0,2.0,3.15,3.58,5800.0,86.0,9095
38,0.0,96.5,175.4,65.2,54.1,2304.0,4,110.0,9.0,27,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,85.0,4.0,3.15,3.58,5800.0,86.0,8845
39,0.0,96.5,175.4,62.5,54.1,2372.0,4,110.0,9.0,27,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,85.0,4.0,3.15,3.58,5800.0,86.0,10295
40,0.0,96.5,175.4,65.2,54.1,2465.0,4,110.0,9.0,24,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,85.0,4.0,3.15,3.58,5800.0,101.0,12945
41,1.0,96.5,169.1,66.0,51.0,2293.0,4,110.0,9.1,25,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,107.0,2.0,3.15,3.58,5500.0,100.0,10345
42,0.0,94.3,170.7,61.8,53.5,2337.0,4,111.0,8.5,24,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,122.0,4.0,3.31,3.23,4800.0,78.0,6785
43,2.0,96.0,172.6,65.2,51.4,2734.0,4,119.0,9.2,24,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,122.0,2.0,3.43,3.23,5000.0,90.0,11048
44,0.0,113.0,199.6,69.6,52.8,4066.0,6,258.0,8.1,15,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,145.0,4.0,3.63,4.17,4750.0,176.0,32250
45,0.0,113.0,199.6,69.6,52.8,4066.0,6,258.0,8.1,15,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,122.0,4.0,3.63,4.17,4750.0,176.0,35550
46,0.0,102.0,191.7,70.6,47.8,3950.0,12,326.0,11.5,13,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,122.0,2.0,3.54,2.76,5000.0,262.0,36000
47,1.0,93.1,159.1,64.2,54.1,1890.0,4,91.0,9.0,30,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,104.0,2.0,3.03,3.15,5000.0,68.0,5195
48,1.0,93.1,159.1,64.2,54.1,1900.0,4,91.0,9.0,31,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,104.0,2.0,3.03,3.15,5000.0,68.0,6095
49,1.0,93.1,159.1,64.2,54.1,1905.0,4,91.0,9.0,31,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,104.0,2.0,3.03,3.15,5000.0,68.0,6795
50,1.0,93.1,166.8,64.2,54.1,1945.0,4,91.0,9.0,31,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,113.0,4.0,3.03,3.15,5000.0,68.0,6695
51,1.0,93.1,166.8,64.2,54.1,1950.0,4,91.0,9.0,31,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,113.0,4.0,3.08,3.15,5000.0,68.0,7395
52,3.0,95.3,169.0,65.7,49.6,2380.0,2,70.0,9.4,17,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,150.0,2.0,3.330710659898477,3.256903553299492,6000.0,101.0,10945
53,3.0,95.3,169.0,65.7,49.6,2380.0,2,70.0,9.4,17,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,150.0,2.0,3.330710659898477,3.256903553299492,6000.0,101.0,11845
54,3.0,95.3,169.0,65.7,49.6,2385.0,2,70.0,9.4,17,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,150.0,2.0,3.330710659898477,3.256903553299492,6000.0,101.0,13645
55,3.0,95.3,169.0,65.7,49.6,2500.0,2,80.0,9.4,16,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,150.0,2.0,3.330710659898477,3.256903553299492,6000.0,135.0,15645
56,1.0,98.8,177.8,66.5,53.7,2385.0,4,122.0,8.6,26,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,129.0,2.0,3.39,3.39,4800.0,84.0,8845
57,0.0,98.8,177.8,66.5,55.5,2410.0,4,122.0,8.6,26,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,115.0,4.0,3.39,3.39,4800.0,84.0,8495
58,1.0,98.8,177.8,66.5,53.7,2385.0,4,122.0,8.6,26,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,129.0,2.0,3.39,3.39,4800.0,84.0,10595
59,0.0,98.8,177.8,66.5,55.5,2410.0,4,122.0,8.6,26,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,115.0,4.0,3.39,3.39,4800.0,84.0,10245
60,0.0,98.8,177.8,66.5,55.5,2443.0,4,122.0,22.7,36,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,122.0,3.135678391959799,3.39,3.39,4650.0,64.0,10795
61,0.0,98.8,177.8,66.5,55.5,2425.0,4,122.0,8.6,26,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,115.0,4.0,3.39,3.39,4800.0,84.0,11245
62,0.0,104.9,175.0,66.1,54.4,2670.0,4,140.0,8.0,19,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,118.0,4.0,3.76,3.16,5000.0,120.0,18280
63,0.0,104.9,175.0,66.1,54.4,2700.0,4,134.0,22.0,31,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,122.0,4.0,3.43,3.64,4200.0,72.0,18344
64,-1.0,110.0,190.9,70.3,56.5,3515.0,5,183.0,21.5,22,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,93.0,4.0,3.58,3.64,4350.0,123.0,25552
65,-1.0,110.0,190.9,70.3,58.7,3750.0,5,183.0,21.5,22,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,93.0,4.0,3.58,3.64,4350.0,123.0,28248
66,0.0,106.7,187.5,70.3,54.9,3495.0,5,183.0,21.5,22,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,93.0,2.0,3.58,3.64,4350.0,123.0,28176
67,-1.0,115.6,202.6,71.7,56.3,3770.0,5,183.0,21.5,22,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,93.0,4.0,3.58,3.64,4350.0,123.0,31600
68,-1.0,115.6,202.6,71.7,56.5,3740.0,8,234.0,8.3,16,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,122.0,4.0,3.46,3.1,4750.0,155.0,34184
69,3.0,96.6,180.3,70.5,50.8,3685.0,8,234.0,8.3,16,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,142.0,2.0,3.46,3.1,4750.0,155.0,35056
70,0.0,120.9,208.1,71.7,56.7,3900.0,8,308.0,8.0,14,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,122.0,4.0,3.8,3.35,4500.0,184.0,40960
71,1.0,112.0,199.2,72.0,55.4,3715.0,8,304.0,8.0,14,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,122.0,2.0,3.8,3.35,4500.0,184.0,45400
72,1.0,102.7,178.4,68.0,54.8,2910.0,4,140.0,8.0,19,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,122.0,2.0,3.78,3.12,5000.0,175.0,16503
73,2.0,93.7,157.3,64.4,50.8,1918.0,4,92.0,9.4,37,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,161.0,2.0,2.97,3.23,5500.0,68.0,5389
74,2.0,93.7,157.3,64.4,50.8,1944.0,4,92.0,9.4,31,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,161.0,2.0,2.97,3.23,5500.0,68.0,6189
75,2.0,93.7,157.3,64.4,50.8,2004.0,4,92.0,9.4,31,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,161.0,2.0,2.97,3.23,5500.0,68.0,6669
